Producto,Tienda,Semana,Precio,Pedido,Venta,Inventario,DemandaInsatisfecha,Activacion
2,2,17,21852.392,0.0,2053.0,2053.0,3742.0,-0.0
2,2,18,21831.6,0.0,1026.5,1026.5,5316.5,-0.0
2,2,19,21831.6,0.0,513.25,513.25,6186.75,-0.0
2,2,20,21831.6,0.0,256.625,256.625,8344.375,0.0
3,1,10,33623.592,0.0,3979.0,5000.0,0.0,-0.0
3,1,11,33623.592,3257.0,1599.0,3401.0,0.0,1.0
3,1,12,33623.592,7799.0,3329.0,3329.0,0.0,1.0
3,1,13,33623.592,1534.0,5564.0,5564.0,0.0,1.0
3,1,14,33623.592,4475.0,3549.0,3549.0,0.0,1.0
3,1,15,33623.592,6078.0,4012.0,4012.0,0.0,1.0
3,1,16,33623.592,0.0,5045.0,5045.0,0.0,0.0
3,1,17,33623.592,0.0,2522.5,2522.5,4861.5,-0.0
3,1,18,33623.592,0.0,1261.25,1261.25,1451.75,-0.0
3,1,19,33623.592,0.0,630.625,630.625,862.375,-0.0
3,1,20,33591.6,0.0,315.3125,315.3125,4313.6875,0.0
3,2,10,33623.592,0.0,5000.0,5000.0,18.0,-0.0
3,2,11,33623.592,5317.0,1859.0,3141.0,0.0,1.0
3,2,12,33623.592,9107.0,4229.0,4229.0,0.0,1.0
3,2,13,33623.592,4008.0,6668.0,6668.0,0.0,1.0
3,2,14,33623.592,0.0,5338.0,5338.0,0.0,-0.0
3,2,15,33623.592,0.0,2669.0,2669.0,655.0,-0.0
3,2,16,33623.592,0.0,1036.0,1633.0,0.0,-0.0
3,2,17,33623.592,0.0,816.5,816.5,969.5,-0.0
3,2,18,33591.6,0.0,408.25,408.25,1831.75,-0.0
3,2,19,33591.6,0.0,204.125,204.125,3449.875,-0.0
3,2,20,33591.6,0.0,102.0625,102.0625,3697.9375,0.0
4,1,10,97986.95956545502,0.0,1225.0,5000.0,0.0,-0.0
4,1,11,98072.09030194329,0.0,1538.0,3462.0,0.0,-0.0
4,1,12,98023.03537575561,0.0,899.0,2563.0,0.0,-0.0
4,1,13,97957.83320303119,4658.0,1082.0,1481.0,0.0,1.0
4,1,14,97968.35957260897,0.0,2763.0,3376.0,0.0,-0.0
4,1,15,97997.28153950711,3939.0,1688.0,1688.0,0.0,1.0
4,1,16,97995.44197977506,0.0,1801.0,3826.0,0.0,-0.0
4,1,17,97995.33978201218,0.0,1534.0,2292.0,0.0,-0.0
4,1,18,97904.69036632788,966.0,1146.0,1146.0,0.0,1.0
4,1,19,97971.73209878436,0.0,1056.0,1056.0,342.0,-0.0
4,1,20,97969.58594576364,0.0,528.0,528.0,0.0,0.0
4,2,10,101786.95956545479,0.0,1212.0,5000.0,0.0,-0.0
4,2,11,101872.09030194329,0.0,1406.0,3594.0,0.0,-0.0
4,2,12,101823.03537575561,1762.0,1308.0,2286.0,0.0,1.0
4,2,13,101757.8332030312,2042.0,2024.0,2024.0,0.0,1.0
4,2,14,101768.35957260896,0.0,1456.0,2610.0,0.0,-0.0
4,2,15,101797.2815395071,1543.0,1305.0,1305.0,0.0,1.0
4,2,16,101795.44197977506,1566.0,1424.0,1424.0,0.0,1.0
4,2,17,101795.33978201218,2235.0,1495.0,1495.0,0.0,1.0
4,2,18,101704.69036632788,0.0,1510.0,2220.0,0.0,-0.0
4,2,19,101771.73209878436,1880.0,1110.0,1110.0,0.0,1.0
4,2,20,101769.58594576365,0.0,1495.0,1495.0,0.0,0.0
5,1,10,26897.192,13662.0,5000.0,5000.0,1937.0,1.0
